location amplitude width
4.998505747972222366e+02 2.040428208357169382e+01 4.239969668052082419e+00
4.999638154536680190e+02 1.908216612095530351e+01 4.264068402810586633e+00
5.002063771230668863e+02 1.944044642704459491e+01 4.171987485841959220e+00
5.002728430012742251e+02 1.887523019122717116e+01 4.221496671363120790e+00
5.002070553674682856e+02 1.905793132625609587e+01 4.165006661132068189e+00
5.000678041996908405e+02 2.004194712848526549e+01 4.264158352217980230e+00
4.999298198468197825e+02 1.890615516031255439e+01 4.094182364805273977e+00
4.998465801437168921e+02 1.943453492172617558e+01 3.892909519899111270e+00
4.999310734227928492e+02 1.878514965157874528e+01 4.397104010865445112e+00
5.000218101136490532e+02 1.963011389012255492e+01 4.356795109841157476e+00
4.997514018736686126e+02 2.006757449554212513e+01 4.085075114918121919e+00
5.002073154846281682e+02 2.005975334858710113e+01 4.001368936980630231e+00
4.999903951650053386e+02 1.957781142776721950e+01 4.197335573238503592e+00
4.997029337717743829e+02 2.082977294723361084e+01 4.070571415501958334e+00
4.997315657754834888e+02 1.868937941993560869e+01 4.317088295851523760e+00
5.001035781804727094e+02 1.971152430241252773e+01 4.132686918036740487e+00
4.995807664914966608e+02 1.850870457484553100e+01 3.967744970787867143e+00
5.000572342884813679e+02 2.056597057301288345e+01 4.015884016986823291e+00
4.998445624561362592e+02 2.026731130141035209e+01 4.354423835658392861e+00
4.998720457685973315e+02 1.931230034345227864e+01 4.106170758503944640e+00
4.999169833374494942e+02 1.878281887080229495e+01 4.168841428347775491e+00
4.996933470485842008e+02 1.815903779217881464e+01 4.589569540817053372e+00
4.999061060709456115e+02 1.828006156920735847e+01 4.570859653740213524e+00
5.000384269086523545e+02 1.956667524719826190e+01 4.334399215145563922e+00
5.001051224587428123e+02 1.903495639466496669e+01 4.414686304298234276e+00
4.998704586730358415e+02 2.019053442095914619e+01 4.190494041415331772e+00
4.998324417594604370e+02 2.080698917323119446e+01 3.989400620929200336e+00
5.000312086558641340e+02 2.172140050628036434e+01 4.000128081913913114e+00
4.999285859384964397e+02 1.859684454012719357e+01 4.111142479292722918e+00
5.001422369402280310e+02 2.020183550991853494e+01 4.140191528105394703e+00
4.997307884640477482e+02 2.048051180583258812e+01 3.596234176264547777e+00
4.999512771658628481e+02 1.965152279138187197e+01 4.028699181957811071e+00
4.999061060709456115e+02 1.828006156920735847e+01 4.570859653740213524e+00
5.002920887140427908e+02 2.066613523697473909e+01 3.934869393738101628e+00
4.998295087115077990e+02 1.895908936399838751e+01 4.128783259962543362e+00
4.998929407786903312e+02 1.985870149106389704e+01 4.105713148919809541e+00
5.002174684061878338e+02 1.832160145375480198e+01 4.592294569389997250e+00
4.997603010007210855e+02 1.848182985067451511e+01 4.372739825531629876e+00
5.001266948140627164e+02 1.981545677417192763e+01 4.073078489994322204e+00
5.002619744900932801e+02 1.847002442863326976e+01 4.604401755888162917e+00
4.999685462741099400e+02 1.770124240015195127e+01 4.212220965531021655e+00
5.005067486847014493e+02 1.883281641742002677e+01 4.081259172413686187e+00
5.000217359859918815e+02 1.889189772771813480e+01 4.074576757941195559e+00
5.004319499310043398e+02 2.050406961015276153e+01 3.826186215733899942e+00
5.002137735202562681e+02 1.951013491452663828e+01 4.215171024886510409e+00
4.999151105250920182e+02 1.906373303113288031e+01 4.334216377670325748e+00
5.000442296645114766e+02 1.803474102008624058e+01 4.400102715875744863e+00
4.999025967059904474e+02 1.892908317732713286e+01 4.359996492774229182e+00
4.997693558301446615e+02 1.751239878963053442e+01 4.433600497199886803e+00
5.001318173982209032e+02 2.012858121402081935e+01 4.161009798100521628e+00
5.003270186744891816e+02 1.959336562643272828e+01 4.475023060775678019e+00
5.001307876358642943e+02 1.948932513925110044e+01 4.198014225625154694e+00
4.999427724170925558e+02 2.007131009512330166e+01 4.151580094311840163e+00
4.997892883039300500e+02 2.004046470631406862e+01 3.915225544620673404e+00
5.002070075292882620e+02 2.216411979976288649e+01 3.735692525629496608e+00
5.002761914286801357e+02 1.807873722140881867e+01 4.656463718028541976e+00
5.003376157007907636e+02 1.857659851635259329e+01 4.409438051626302091e+00
5.001526069686015035e+02 1.847734001446344010e+01 4.278502074105634989e+00
5.001567935340314079e+02 1.850191984329200068e+01 4.245613332699069709e+00
5.000175468317745526e+02 1.915934197540699913e+01 4.312884831026080334e+00
5.002096737076325326e+02 2.115439343676810680e+01 4.027894104427351074e+00
4.999268522921417457e+02 2.052460184131528109e+01 3.965160700397015958e+00
4.996946842660952370e+02 1.986740248862663449e+01 4.029564200276908537e+00
5.000641949228354974e+02 1.846441108648546958e+01 4.230500581079993161e+00
4.999693905353940409e+02 1.967099615249480493e+01 4.146298525130594825e+00
4.999540958449607047e+02 1.961122647866373114e+01 4.163409982104867346e+00
