logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.794561939890407957e+05 -2.794621867033274611e+05 nan
-2.794621867033274611e+05 nan -2.500000000000000052e-03 4.000000000000000000e+02 -8.149827330360804626e+04 -8.150426851789474313e+04 nan
-8.150426851789474313e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.119193642562361492e+04 -6.119793413991030684e+04 nan
-6.119793413991030684e+04 nan -7.499999999999999722e-03 4.000000000000000000e+02 -5.435634859722045076e+04 -5.436234881150714500e+04 nan
-5.436234881150714500e+04 nan -1.000000000000000021e-02 4.000000000000000000e+02 -5.357209743189522123e+04 -5.357810014618191053e+04 nan
-5.357810014618191053e+04 6.198014996475568478e+04 -1.250000000000000069e-02 4.000000000000000000e+02 -3.795739325042902783e+04 -3.796339846471571946e+04 nan
-3.796339846471571946e+04 1.246775206499457636e+04 -1.500000000000000118e-02 4.000000000000000000e+02 -3.575269385796002462e+04 -3.575870157224671857e+04 nan
-3.575870157224671857e+04 9.541833773257308167e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -2.397511990523338318e+04 -2.398113011952007582e+04 nan
-2.398113011952007582e+04 6.050507074778966853e+03 -2.000000000000000042e-02 4.000000000000000000e+02 -2.369828316487326447e+04 -2.370429587915995580e+04 nan
-2.370429587915995580e+04 4.492618589688108841e+03 -2.249999999999999917e-02 4.000000000000000000e+02 -2.263700504068149894e+04 -2.264302025496818896e+04 nan
-2.264302025496818896e+04 5.002946170107366584e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -2.197667152112181066e+04 -2.198268923540850301e+04 nan
-2.198268923540850301e+04 5.106287939054921026e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -1.200985954550258975e+04 -1.201587975978928080e+04 nan
-1.201587975978928080e+04 4.779127408065978670e+03 -2.999999999999999542e-02 4.000000000000000000e+02 -9.646957365113121341e+03 -9.652980079399812894e+03 nan
-9.652980079399812894e+03 3.590295805909832779e+03 -3.249999999999999417e-02 4.000000000000000000e+02 -9.179651854282952627e+03 -9.185677068569644689e+03 nan
-9.185677068569644689e+03 2.305055724897568723e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -8.583464886946982006e+03 -8.589492601233672758e+03 nan
-8.589492601233672758e+03 3.553449547704078100e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -6.535170307098591366e+03 -6.541200521385282627e+03 nan
-6.541200521385282627e+03 9.828470885707245088e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -6.026787074417420627e+03 -6.032819788704111488e+03 nan
-6.032819788704111488e+03 6.869524141859396877e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -4.753281864188640611e+03 -4.759317078475331982e+03 nan
-4.759317078475331982e+03 7.086992705546756497e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -4.719192292768658263e+03 -4.725230007055349233e+03 nan
-4.725230007055349233e+03 5.904697333390103040e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -4.608053150102250584e+03 -4.614093364388942064e+03 nan
-4.614093364388942064e+03 5.478151512419468361e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -4.395117415907197028e+03 -4.401160130193888108e+03 nan
-4.401160130193888108e+03 1.394371832790744747e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -4.381151064950923683e+03 -4.387196279237615272e+03 nan
-4.387196278375477959e+03 1.167472236389332494e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -3.796494503222043022e+03 -3.802542217508734211e+03 nan
-3.802542217508734211e+03 2.179178253398563072e+02 -5.750000000000001638e-02 4.000000000000000000e+02 -3.538245206525205504e+03 -3.544295420811896747e+03 nan
-3.544295420811896747e+03 1.278329002849787770e+02 -6.000000000000001860e-02 4.000000000000000000e+02 -2.987335852305177468e+03 -2.993388566591868766e+03 nan
-2.993388566591868766e+03 3.012255230761520579e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -2.567260832276622750e+03 -2.573316046563314103e+03 nan
