weight logl location amplitude width
0.000000000000000000e+00 -2.794561939890407957e+05 7.149680379196021729e-01 9.798341610069458696e-01 9.874127024112805406e-01
0.000000000000000000e+00 -8.149827330360804626e+04 4.179353807141831245e-01 8.729058260257408497e-01 9.917243081999501664e-01
0.000000000000000000e+00 -6.119193642562361492e+04 6.142599140810716118e-01 8.376477708040174219e-01 9.990324688810290343e-01
0.000000000000000000e+00 -5.435634859722045076e+04 6.351275262969190427e-01 9.657557474901125039e-01 9.355043721214113539e-01
0.000000000000000000e+00 -5.357209743189522123e+04 8.228063789910119441e-01 9.786042916636733535e-01 9.238208181758987836e-01
0.000000000000000000e+00 -3.795739325042902783e+04 7.315614857635346358e-01 8.749697821637416606e-01 9.726876547725072930e-01
0.000000000000000000e+00 -3.575269385796002462e+04 6.554770306977375505e-02 9.504695954972056660e-01 9.281951725660290142e-01
0.000000000000000000e+00 -2.397511990523338318e+04 2.837035671386706204e-01 9.089425918868559995e-01 9.399063457606068317e-01
0.000000000000000000e+00 -2.369828316487326447e+04 9.112963015992981974e-01 8.710056987619870794e-01 9.660330723326843172e-01
0.000000000000000000e+00 -2.263700504068149894e+04 6.538840134780099511e-02 9.708266653926170831e-01 8.636653669989556859e-01
0.000000000000000000e+00 -2.197667152112181066e+04 2.717799138522666302e-01 8.862517866267159983e-01 9.505777767746087514e-01
0.000000000000000000e+00 -1.200985954550258975e+04 4.415171776825984606e-01 9.349593929196287068e-01 8.493931753676289276e-01
0.000000000000000000e+00 -9.646957365113121341e+03 5.317390983159786533e-02 8.849080731110003928e-01 8.929436528033034559e-01
0.000000000000000000e+00 -9.179651854282952627e+03 6.122327459338056110e-01 9.579617645890546873e-01 7.810464476286339552e-01
0.000000000000000000e+00 -8.583464886946982006e+03 5.627645567823228445e-01 8.167600824144761740e-01 9.446195959435658152e-01
0.000000000000000000e+00 -6.535170307098591366e+03 3.271311114263433240e-01 9.568832983898146738e-01 7.352128825002887114e-01
0.000000000000000000e+00 -6.026787074417420627e+03 4.149158407366748680e-02 9.895212351748042812e-01 6.502907700046957062e-01
0.000000000000000000e+00 -4.753281864188640611e+03 3.696883009047789992e-01 9.890104926305186561e-01 5.460512387149879521e-01
0.000000000000000000e+00 -4.719192292768658263e+03 2.163913496390191815e-01 9.830088138793308117e-01 6.201587455332945309e-01
0.000000000000000000e+00 -4.608053150102250584e+03 3.219518482114693825e-01 8.887111943937945346e-01 8.089918210096586071e-01
0.000000000000000000e+00 -4.395117415907197028e+03 3.073857745311804335e-01 9.598543343099387171e-01 6.598622093589648907e-01
0.000000000000000000e+00 -4.381151064950923683e+03 4.880457000333222606e-01 8.550903563615958047e-01 8.496306491430298813e-01
0.000000000000000000e+00 -3.796494503222043022e+03 6.496880351806288978e-01 8.758581920225940731e-01 8.033807466425653132e-01
0.000000000000000000e+00 -3.538245206525205504e+03 7.315456979215611000e-01 8.677403386627846604e-01 8.080186648740838029e-01
0.000000000000000000e+00 -2.987335852305177468e+03 3.529840710734435394e-01 9.546818272060070276e-01 1.702332863241776684e-01
0.000000000000000000e+00 -2.567260832276622750e+03 1.196310032746149554e-01 7.504641221294909847e-01 9.215332148432592296e-01
0.000000000000000000e+00 -2.553782100258812534e+03 1.227005306298465381e-01 8.588406540697391955e-01 7.641738691485711055e-01
0.000000000000000000e+00 -2.369543750293259563e+03 4.612950648244595886e-01 7.580540729022411384e-01 9.062549060627486108e-01
0.000000000000000000e+00 -2.340778044456664702e+03 2.350471246154034466e-01 9.499638838455263246e-01 3.416351749777012392e-01
0.000000000000000000e+00 -2.333063419469456221e+03 9.392938939944150967e-01 7.224526182477960523e-01 9.450957203091712167e-01
0.000000000000000000e+00 -2.288623504469417185e+03 6.609301631964691337e-01 9.298846136229562687e-01 6.177318090727347277e-01
0.000000000000000000e+00 -2.205990920240522428e+03 3.145739331255703597e-02 8.167967691614480552e-01 8.236409217479839784e-01
0.000000000000000000e+00 -2.048123189956298575e+03 2.512609526197422394e-01 9.759814137600886230e-01 4.635207017716724831e-01
0.000000000000000000e+00 -2.038445984526589200e+03 8.071024171244081113e-01 9.168486304518380647e-01 5.531818750156686226e-01
0.000000000000000000e+00 -1.773607207157529047e+03 4.036849883648668813e-01 7.737958173149679375e-01 8.628166932866683236e-01
0.000000000000000000e+00 -1.706440853432520726e+03 7.165325967796390971e-01 9.460113207138554081e-01 5.199276846791356377e-01
0.000000000000000000e+00 -1.700675255265273790e+03 3.602544299927404881e-01 8.647448298756006402e-01 6.935386554358147215e-01
0.000000000000000000e+00 -1.668071550713365241e+03 6.267605314443546183e-01 8.456537620768148633e-01 7.197641806178557422e-01
0.000000000000000000e+00 -1.624618966810765414e+03 6.661414048446094860e-01 8.558395906339224535e-01 7.026706305297761856e-01
0.000000000000000000e+00 -1.602557621135277714e+03 2.973449454664561786e-01 7.666430109552959671e-01 8.958791750075314475e-01
0.000000000000000000e+00 -1.550593859038205210e+03 4.803420628412854443e-01 6.959046092477656487e-01 9.272026685321130834e-01
0.000000000000000000e+00 -1.540139613021173091e+03 6.608504684446876443e-01 8.928068447307920819e-01 6.177931333682595838e-01
0.000000000000000000e+00 -1.359461900761563811e+03 1.566297872245002720e-01 7.268299716941279964e-01 8.823461170556374800e-01
0.000000000000000000e+00 -1.233650105276468821e+03 5.573713742699071272e-02 8.230317681191919865e-01 7.083265316077176355e-01
0.000000000000000000e+00 -1.140912841378802568e+03 4.422347785035344314e-01 7.701785432004674137e-01 7.809139272984992886e-01
0.000000000000000000e+00 -1.123496417084322275e+03 2.345818306809337450e-01 8.887165038039228637e-01 4.698903295928015256e-01
0.000000000000000000e+00 -1.110969794725418978e+03 9.956283138478528860e-01 7.268316023595969844e-01 8.992789335688309293e-01
0.000000000000000000e+00 -1.101203353697162129e+03 1.768043169499098344e-01 8.742264035169621250e-01 2.799855875459833499e-01
0.000000000000000000e+00 -1.063225427058639980e+03 8.533683563331201372e-01 8.888621134351321063e-01 5.676101012691500136e-01
0.000000000000000000e+00 -1.051572803313975328e+03 1.865910601872656782e-01 8.250785052856091095e-01 6.507948065909352486e-01
0.000000000000000000e+00 -1.034815433729436791e+03 1.990092786958931326e-01 7.299895511671167236e-01 8.828201803834130335e-01
0.000000000000000000e+00 -1.017168825436157590e+03 8.844839628993398373e-01 7.617674591462650913e-01 7.628262355566971520e-01
0.000000000000000000e+00 -9.865334678526601238e+02 5.187598106462739667e-01 6.386950384545286852e-01 9.303780203336148302e-01
0.000000000000000000e+00 -9.367031483331136315e+02 8.442852143248213981e-02 8.239080847119208961e-01 5.730815435303190375e-01
0.000000000000000000e+00 -9.290616704006444024e+02 2.474376703223138962e-01 7.770839776340351390e-01 8.745509293332176526e-01
0.000000000000000000e+00 -8.873187305409046530e+02 1.342719365225937267e-01 7.162288001822949557e-01 8.065358917904363878e-01
0.000000000000000000e+00 -8.863312199765759942e+02 7.843856890366081025e-01 8.046731656355152751e-01 6.396775329320705250e-01
0.000000000000000000e+00 -8.821465056556604623e+02 9.931720876007184007e-01 8.214736878466398773e-01 6.133284623960449933e-01
0.000000000000000000e+00 -8.727723972844348737e+02 5.500722336617321906e-01 9.535660217535971706e-01 5.069429878716351645e-01
0.000000000000000000e+00 -8.648916219955482347e+02 5.536784372010467026e-01 8.258103883736430673e-01 5.766446286790256615e-01
0.000000000000000000e+00 -8.586704763439245198e+02 2.885643119687697489e-02 6.397898063883464825e-01 9.247441736814082658e-01
0.000000000000000000e+00 -8.324204691730868717e+02 5.281063104473178171e-01 8.388504071122713235e-01 4.575133592662840032e-01
0.000000000000000000e+00 -8.182618992626669296e+02 1.013989200114785438e-01 7.031682295901694468e-01 7.939042248174084104e-01
0.000000000000000000e+00 -8.174639429683376193e+02 7.312875898793532725e-01 8.142880950851636435e-01 4.319119284088814847e-01
5.063285033907200358e-317 -7.920208876588437761e+02 5.713768620314830793e-01 8.042802739313353877e-01 4.658537336453655309e-01
2.485728502419927296e-316 -7.904272523042420744e+02 8.229820525397221198e-01 9.070718018040246911e-01 2.238229516346250669e-01
8.916795969006483798e-298 -7.477008497202381250e+02 6.707931018907262732e-01 8.504073822010772554e-01 4.260859479258229943e-01
5.910478733217715658e-294 -7.388992192019618415e+02 9.225690451231428613e-01 7.530582932957212705e-01 6.798602978742668279e-01
3.623167116645597423e-291 -7.324783422176036538e+02 2.342661989552717872e-01 8.717002149925382470e-01 3.945203454067960358e-01
3.619364027020598113e-291 -7.324768924277854012e+02 7.513563998122004817e-01 6.674438796135496732e-01 8.485762147290077939e-01
1.901967308186867726e-287 -7.239074616072185790e+02 1.666658145607738950e-01 7.909111566735713694e-01 5.725526519340760068e-01
7.197079628791573733e-281 -7.087586644884761427e+02 1.528695055060435015e-01 6.381971775648915823e-01 8.707490662634193024e-01
7.164437872109380179e-280 -7.064581251286037968e+02 6.931846177829597000e-01 6.222661152953281594e-01 8.900425392434239136e-01
6.641494278703370792e-279 -7.042288326589733742e+02 6.783147328650532826e-01 7.535563581695963187e-01 6.575579595384275500e-01
3.018718003511278855e-267 -6.773838162840768291e+02 7.749754873228418273e-01 7.251743897160957131e-01 7.025118958049387796e-01
1.115441767691588796e-265 -6.737717278065487108e+02 7.255721095909797302e-01 5.335083218110695524e-01 9.553986689309855729e-01
3.373942201752370583e-262 -6.657546412047236117e+02 6.366998978552550481e-01 9.429302164070092473e-01 3.786410193891345255e-01
2.679155693507584773e-260 -6.613775511670787637e+02 6.729475654392664818e-01 7.959176096058598882e-01 3.481602176973223051e-01
1.121669523551020481e-258 -6.576405644648173165e+02 6.484744248926107568e-01 7.782694933001896853e-01 5.570342476956612332e-01
3.875432161019321060e-253 -6.448853000392606418e+02 9.800015134288319052e-01 7.577274284973387619e-01 6.346144595779602549e-01
4.584871656838896279e-251 -6.401095249219324614e+02 4.999432686500546730e-01 7.155977932100995309e-01 6.747518971601399462e-01
1.706848428130278748e-249 -6.364899682037255388e+02 9.082602550266718477e-01 7.698579557684280816e-01 3.438182619547456298e-01
6.964743171519556009e-243 -6.212657455589331903e+02 5.927660088115103143e-01 7.186281953787949650e-01 6.751749056001199456e-01
8.338087086387082875e-242 -6.187806873744157201e+02 4.764965616522346403e-01 6.221524314991081495e-01 8.372703938132870505e-01
5.569971332428012080e-241 -6.168790461981986937e+02 6.809922085457751351e-01 7.627196457747392744e-01 2.527933868513154714e-01
1.705624697668470709e-239 -6.134548344841302878e+02 1.815489639374526787e-01 8.413757117345163072e-01 5.126119613433196553e-01
4.238095619193009340e-238 -6.102395668044305239e+02 8.964934311826489033e-01 5.411518110074896581e-01 9.253610974461040639e-01
6.450902850001495522e-236 -6.052117905426167681e+02 6.715519087156466282e-01 5.907553388815426354e-01 8.791544868404264079e-01
1.209766115092111973e-232 -5.976727432207841275e+02 4.790194393384161753e-01 5.616933776316193061e-01 9.069934549491439624e-01
3.085457120860054672e-231 -5.944313853537030354e+02 1.742621126091289385e-01 7.468379176668762387e-01 5.982718529108095318e-01
1.480355543360288850e-230 -5.928607177914836939e+02 4.507205328055398086e-01 7.495178575722677428e-01 5.747472145545969857e-01
3.724140915217600990e-227 -5.850279086049807802e+02 1.323129822545904277e-01 6.817351958063184725e-01 6.819772624452705712e-01
6.838779779624472232e-226 -5.821150503895041766e+02 4.447652337711924808e-01 7.283516045374632819e-01 5.748560232506888523e-01
1.775440591978574905e-221 -5.719481856325037370e+02 3.808476501054915975e-01 6.743179548141513546e-01 7.317163915399981233e-01
1.069129180428866076e-215 -5.586373792204465190e+02 3.692481782663660228e-01 6.060583455724106727e-01 8.533188578074814012e-01
5.850370981853353848e-213 -5.523300484265755586e+02 9.545959690260038544e-01 7.254538272709312174e-01 5.906248849240625098e-01
7.382945212761354394e-213 -5.520948808621890294e+02 5.971181139469500243e-01 5.207313115734915066e-01 9.200868577956847760e-01
6.126161751228611392e-212 -5.499763999964010281e+02 4.903257218190127942e-01 4.465177809838385414e-01 9.902002364955981850e-01
1.652224391839364506e-210 -5.466791757262419651e+02 6.302513384797264751e-01 6.780117925902919840e-01 1.536568598501076854e-01
9.860819147828430956e-210 -5.448902289794910985e+02 5.497180856799486204e-01 6.122092851984405337e-01 8.015918345518817656e-01
1.104139835035987775e-209 -5.447746465275296259e+02 5.623200273183793785e-01 6.669347608913928083e-01 7.107291769455758024e-01
9.543190015130311759e-209 -5.426153853168299293e+02 7.144160613491439271e-01 6.086562727127311501e-01 7.775236913453223986e-01
7.490185548323126172e-208 -5.405525344665106786e+02 2.849342043404268221e-02 6.546663351741405235e-01 6.812930982527594104e-01
1.031988555502773942e-206 -5.379269702731829739e+02 5.668423201769604569e-01 8.412729485921386363e-01 5.040354627563521372e-01
2.416375281955469268e-204 -5.324685190646185902e+02 7.387564322495288049e-02 6.594030650915303493e-01 6.025756505349186831e-01
1.203577494787648542e-201 -5.262552340182314765e+02 9.584962406536178259e-01 4.741498826206428374e-01 9.450615366358516845e-01
5.428474131441381584e-200 -5.224437892052325196e+02 5.946422438507452668e-01 9.011134583349770244e-01 3.648688896338961873e-01
1.055983144287864112e-199 -5.217758899762853844e+02 8.645436780281336997e-01 5.431319402008383257e-01 8.258947752708181156e-01
1.259518376002745977e-196 -5.146893775139883473e+02 9.747399169385260187e-01 6.152187401919482213e-01 7.323382433630817312e-01
2.478382787052941969e-196 -5.140100006751401907e+02 6.949378023271182148e-01 6.183029460957409906e-01 6.366611098819492387e-01
7.954014855308631688e-196 -5.128414301061749256e+02 7.169457631298361555e-01 6.284966459214965662e-01 6.772941302837202082e-01
5.934898193825924396e-194 -5.085265868602342607e+02 3.487859877485499638e-02 8.451813843244720958e-01 2.974856389592827055e-01
1.965251925524529080e-193 -5.073267311981518901e+02 2.203593201018076986e-01 6.582417673871917563e-01 5.286225792960553838e-01
3.785922870131183836e-193 -5.066685619614396501e+02 7.114224631197574311e-01 5.328771220372348072e-01 8.089142340108177454e-01
5.173213376710880618e-193 -5.063538576033024583e+02 2.113240729195053902e-01 6.450934955616679511e-01 5.534204117165505421e-01
6.810827065147885774e-193 -5.060763380802153506e+02 6.209219460361070642e-01 9.614314018893744818e-01 2.310533422106740842e-01
1.967700673822650915e-192 -5.050129008582077290e+02 3.654465121583374554e-01 7.498964620998236352e-01 5.244345618311204715e-01
1.050825862365188223e-191 -5.033351050650427396e+02 3.252920020692010583e-01 6.382834339517684530e-01 6.482114695486593803e-01
3.589122837731025849e-191 -5.021042736178893620e+02 3.222313438681502218e-01 8.820992015506253781e-01 4.220685002552675424e-01
4.447658955378153956e-191 -5.018873035753333056e+02 6.265341454323974935e-01 7.467472249111551941e-01 5.075792111831248787e-01
9.332688182943627296e-191 -5.011436583597791241e+02 6.881767266458810317e-01 6.336431413477910946e-01 4.417701086062294502e-01
1.368318995036697995e-190 -5.007585133871233438e+02 8.678902592854158549e-01 4.316668834082780792e-01 9.014534149309072486e-01
8.109145611008964842e-190 -4.989766038501299477e+02 3.357355073827750225e-02 6.058977706121250195e-01 5.387417984411253524e-01
5.828847188265000356e-189 -4.970016920267052001e+02 6.200140993484495322e-01 6.436931332287952889e-01 5.979634051490013702e-01
5.824570779947279636e-189 -4.969999259587621054e+02 1.054442065057676903e-01 8.805142828261701693e-01 4.491430611190023736e-01
9.182025662498164786e-188 -4.942396783359656069e+02 4.233155856296944020e-02 6.110032429416732969e-01 4.981993118022350897e-01
1.329490467693170466e-187 -4.938670453218330749e+02 8.251132886353660378e-01 5.497070616099882789e-01 6.261652633714817062e-01
3.846302374897130327e-187 -4.928022288189706615e+02 1.917687469334417028e-02 5.414258563369684918e-01 7.431970477621577809e-01
8.113660031609251567e-186 -4.897507069257526382e+02 1.922036752194490328e-01 5.420074281179739772e-01 7.312402358470678765e-01
