weight logl location amplitude width
0.000000000000000000e+00 -4.230920554905119934e+05 7.166527747176678531e+02 8.776107486438358762e+01 5.866848160766096498e+02
0.000000000000000000e+00 -4.806461954126650380e+04 7.689809571306064981e+02 6.340021628655917851e+01 5.668945713105728146e+01
0.000000000000000000e+00 -3.311406723716446140e+04 5.529178223570590944e+02 3.380075037606809474e+01 1.200554517380603983e+02
0.000000000000000000e+00 -2.736829386504071954e+04 5.927827217635654051e+02 8.631412340541760386e+01 1.365097906733877764e+01
0.000000000000000000e+00 -2.107054239320855413e+04 7.815155410756218544e+02 3.219634286011746838e+01 1.307086673102584200e+02
0.000000000000000000e+00 -1.916191731516754226e+04 6.927523535089029565e+02 7.823010457925039418e+01 1.167844481943727253e+01
0.000000000000000000e+00 -1.674769176654524199e+04 6.396377304934071617e+02 9.590906435642681060e+01 6.745815172439882268e+00
0.000000000000000000e+00 -9.882624960090459354e+03 5.092435448865364833e+02 8.473146088072945759e+01 6.010591380173678111e+00
0.000000000000000000e+00 -9.260797736636493937e+03 4.256308898754073766e+02 1.884263727067180838e+01 1.831100641771971027e+02
0.000000000000000000e+00 -8.801059378067857324e+03 5.296606243136466219e+02 7.724854998488578417e+01 5.378330847826023664e+00
0.000000000000000000e+00 -8.410464097436379234e+03 7.147835111649536657e+02 3.214261324405455866e+01 2.913869387353719276e+01
0.000000000000000000e+00 -7.419541835592508505e+03 5.208355280666612543e+02 1.843746813547743102e+01 9.471734354280461332e+01
0.000000000000000000e+00 -6.990566914011506924e+03 6.350922209434819479e+02 5.739649959565139881e+01 7.543831633753410593e+00
0.000000000000000000e+00 -6.155739114558251458e+03 4.339873757759750106e+02 4.802496240851640152e+01 9.034793491650939146e+00
0.000000000000000000e+00 -5.462343153194594379e+03 7.567688720945216119e+02 3.496758736792302358e+01 1.511855105940035138e+01
0.000000000000000000e+00 -5.331164695403669612e+03 7.253260362481098582e+02 9.533701538503883910e+01 1.973606283486689428e+00
0.000000000000000000e+00 -5.192415302165653884e+03 4.335695568862322489e+02 9.680015282395757481e+01 5.795185383762138098e-01
0.000000000000000000e+00 -4.958968796251181629e+03 5.283624820909219579e+02 8.831598125109454145e+01 2.217978152859950036e+00
0.000000000000000000e+00 -4.721893375597039267e+03 6.391479360706159696e+02 3.167723713821725795e+01 1.635347560049623894e+01
0.000000000000000000e+00 -4.280684295186118106e+03 5.224665669822363725e+02 6.242437158352237958e+01 3.695873678479593138e+00
0.000000000000000000e+00 -3.544025372116379003e+03 5.473181007252532027e+02 8.622109707439078363e+01 1.312408619174004087e+00
0.000000000000000000e+00 -3.457604917840621965e+03 5.244489205156065736e+02 7.787207957359969157e+01 5.680265885049387009e-01
0.000000000000000000e+00 -3.409248044005913471e+03 5.472243794727521617e+02 6.549559806065397538e+01 2.635175358077792573e+00
0.000000000000000000e+00 -3.293191641728988543e+03 6.902133770718575079e+02 2.963189465340683881e+01 1.237778817930622921e+01
0.000000000000000000e+00 -3.210912753702568352e+03 6.177739209048213525e+02 4.653055442764039640e+01 4.925438519336292842e+00
0.000000000000000000e+00 -3.167227420071635606e+03 7.029679723984781958e+02 9.961176189013531257e+01 5.682329261282783595e-01
0.000000000000000000e+00 -3.124766399463076141e+03 6.505326399652834652e+02 7.138974351910160010e+01 2.076961803644385540e+00
0.000000000000000000e+00 -2.954007251283192545e+03 4.360645885739401137e+02 7.599841983107248566e+00 5.234167289509257444e+02
0.000000000000000000e+00 -2.840522064387317187e+03 4.910577974332300641e+02 4.886906957931348217e+01 5.137998563930673335e+00
0.000000000000000000e+00 -2.628863347451701429e+03 4.587898077677252786e+02 1.611137117008671282e+01 4.011002631199399815e+01
0.000000000000000000e+00 -2.525590335258392770e+03 6.207294920900410489e+02 2.667224772335805127e+01 1.126085666278160780e+01
0.000000000000000000e+00 -2.504240226429502854e+03 7.504749868159124162e+02 5.285108029715282640e+01 2.727959018127620539e+00
