weight logl amplitude offset frequency phase
0.000000000000000000e+00 -2.428416151068478484e+03 4.464621720547008010e+00 -1.756930348830827437e+00 3.181548488226769944e+00 3.789664567647376803e+00
0.000000000000000000e+00 -2.226164107984761358e+03 4.808969752496004446e+00 -5.066449967567008272e-01 3.017571471959740403e+00 5.090499307119817907e+00
0.000000000000000000e+00 -2.024215085315267743e+03 4.933417406173748354e+00 -1.114759105407789885e+00 5.332575471412017709e-01 3.663461664466769463e+00
0.000000000000000000e+00 -1.977545327800851965e+03 4.600582726818165824e+00 -1.497504537351879161e+00 2.712060057724555051e+00 5.445999627233746310e+00
0.000000000000000000e+00 -1.938667984994458038e+03 4.520603778876631118e+00 -6.463084087013823975e-01 5.342305893889339963e+00 4.926840054026497384e+00
0.000000000000000000e+00 -1.908644852285495745e+03 4.590609274337048795e+00 1.600892409766259128e-01 5.560239673100285884e+00 1.725309372111807349e+00
0.000000000000000000e+00 -1.888956287962412489e+03 4.877052571740795983e+00 -1.815464701490053123e+00 4.870037244257528819e+00 1.991174057360950433e+00
0.000000000000000000e+00 -1.853980974849224367e+03 4.263294969706056037e+00 8.498158971891132119e-01 5.430138311639163717e+00 1.700592970345096600e+00
0.000000000000000000e+00 -1.846318923989288805e+03 4.466645280221039016e+00 1.149682385137246410e+00 5.308738046715776093e+00 2.076779172011544272e+00
0.000000000000000000e+00 -1.833871022111491811e+03 4.827041227829736769e+00 1.896215416513288510e+00 1.315035993770913958e+00 6.331174037296879997e-02
0.000000000000000000e+00 -1.771636621981284861e+03 4.769503430215512374e+00 -1.715448505652291455e+00 5.114121368145888802e+00 6.257531909181727414e+00
0.000000000000000000e+00 -1.751229139230410283e+03 4.666402099958496308e+00 1.667095478120168561e+00 3.760543422050610207e+00 2.149966884592386052e+00
0.000000000000000000e+00 -1.696675471407801524e+03 4.843624012906025733e+00 -1.696757371201325526e+00 8.459400629294706597e-01 4.499066250632298036e+00
0.000000000000000000e+00 -1.680459574623729395e+03 4.793620733018984836e+00 -1.011961675132263760e+00 5.826392928334056975e+00 4.240870893724879132e+00
0.000000000000000000e+00 -1.680302523209762967e+03 4.563801369939804786e+00 -1.188059570695366496e+00 5.161101501874298059e+00 2.529554713340794514e+00
0.000000000000000000e+00 -1.641787309155529556e+03 4.924255493464448463e+00 -9.616110247416322920e-01 2.099513243257963069e+00 5.267077924923181165e+00
0.000000000000000000e+00 -1.624525991379238349e+03 4.164944985895369101e+00 -1.800501605435932628e+00 1.261210792594170238e+00 2.920703396898964410e+00
0.000000000000000000e+00 -1.613600869211855525e+03 3.872798732600689853e+00 -1.170788592402079331e+00 5.404132251619333971e+00 5.364528409055221658e+00
0.000000000000000000e+00 -1.609525422106702536e+03 4.908659801863629824e+00 -8.549426507726081148e-01 9.203074654424312495e-01 4.538639938340970126e+00
0.000000000000000000e+00 -1.584796580178038084e+03 4.642811987128635742e+00 -1.578673062858108711e+00 5.602304497767999436e+00 3.635743185362120045e+00
0.000000000000000000e+00 -1.537411889111684104e+03 4.826279510933746408e+00 1.614185586344130563e+00 1.940816409034850087e+00 5.636952401117954814e+00
0.000000000000000000e+00 -1.533190643810730307e+03 4.210262545310318849e+00 1.619826951845525720e+00 5.788616646542193989e-01 4.701194799267122137e-01
0.000000000000000000e+00 -1.528102791175904258e+03 4.989095512359547513e+00 1.576705268650979264e+00 4.118219370165238757e+00 3.489273516085241583e-02
0.000000000000000000e+00 -1.524405843725875457e+03 4.764100954563463830e+00 -9.914920324304121735e-02 1.993297376678915933e+00 3.980161671182533834e+00
0.000000000000000000e+00 -1.508121970905199760e+03 4.311004579966613015e+00 -1.788627766413455777e+00 3.999205982997612985e+00 5.713896414742070995e+00
0.000000000000000000e+00 -1.505361113865643574e+03 4.570782710305268282e+00 1.898547287551755058e+00 9.050329482652008650e-01 5.197405397594716092e+00
0.000000000000000000e+00 -1.484886598361869574e+03 4.577751659062839096e+00 -1.188675553729399592e+00 5.943304963885842618e+00 5.316003152798912446e+00
0.000000000000000000e+00 -1.471644812219398091e+03 4.653539481756800988e+00 -7.031367417909928363e-01 1.114743859869895326e+00 5.103205914013970279e+00
0.000000000000000000e+00 -1.437082203153567662e+03 4.767545459556560949e+00 -9.579975019815272219e-01 4.034999683872880993e+00 1.563677092003329161e+00
