weight logl amplitude offset frequency phase
0.000000000000000000e+00 -2.428416151068478484e+03 8.929243441094016909e-01 6.076741279229314063e-02 4.875542705866854343e-01 6.031438486012904443e-01
0.000000000000000000e+00 -2.226164107984761358e+03 9.617939504992009114e-01 3.733387508108247932e-01 4.577402676290437400e-01 8.101781275339873245e-01
0.000000000000000000e+00 -2.024215085315267743e+03 9.866834812347496930e-01 2.213102236480525287e-01 6.046826752945766437e-03 5.830580327275488584e-01
0.000000000000000000e+00 -1.977545327800851965e+03 9.201165453636330760e-01 1.256238656620302097e-01 4.021927377681009386e-01 8.667577607508701876e-01
0.000000000000000000e+00 -1.938667984994458038e+03 9.041207557753262458e-01 3.384228978246544006e-01 8.804192534344255083e-01 7.841309484214578074e-01
0.000000000000000000e+00 -1.908644852285495745e+03 9.181218548674097146e-01 5.400223102441564782e-01 9.200435769273247466e-01 2.745915149343683970e-01
0.000000000000000000e+00 -1.888956287962412489e+03 9.754105143481592854e-01 4.613382462748671919e-02 7.945522262286416337e-01 3.169051937853404333e-01
0.000000000000000000e+00 -1.853980974849224367e+03 8.526589939412112518e-01 7.124539742972783030e-01 8.963887839343934738e-01 2.706577774177510998e-01
0.000000000000000000e+00 -1.846318923989288805e+03 8.933290560442078698e-01 7.874205962843116025e-01 8.743160084937775522e-01 3.305296709359308860e-01
0.000000000000000000e+00 -1.833871022111491811e+03 9.654082455659473982e-01 9.740538541283221274e-01 1.481883625038025176e-01 1.007637643610870271e-02
0.000000000000000000e+00 -1.771636621981284861e+03 9.539006860431025192e-01 7.113787358692713614e-02 8.389311578447070650e-01 9.959171349015371044e-01
0.000000000000000000e+00 -1.751229139230410283e+03 9.332804199916991950e-01 9.167738695300421403e-01 5.928260767364745831e-01 3.421778571667607460e-01
0.000000000000000000e+00 -1.696675471407801524e+03 9.687248025812051910e-01 7.581065719966861849e-02 6.289819325990375631e-02 7.160486330860503790e-01
0.000000000000000000e+00 -1.680459574623729395e+03 9.587241466037969007e-01 2.470095812169340599e-01 9.684350778789194703e-01 6.749555657508584661e-01
0.000000000000000000e+00 -1.680302523209762967e+03 9.127602739879608906e-01 2.029851073261583760e-01 8.474730003407814349e-01 4.025911364495897704e-01
0.000000000000000000e+00 -1.641787309155529556e+03 9.848510986928897815e-01 2.595972438145919270e-01 2.908205896832659620e-01 8.382814874017271434e-01
0.000000000000000000e+00 -1.624525991379238349e+03 8.329889971790738201e-01 4.987459864101684293e-02 1.384019622898491342e-01 4.648443829217601131e-01
0.000000000000000000e+00 -1.613600869211855525e+03 7.745597465201379261e-01 2.073028518994801672e-01 8.916604093853334190e-01 8.537912136580396716e-01
0.000000000000000000e+00 -1.609525422106702536e+03 9.817319603727260313e-01 2.862643373068479713e-01 7.641953917135113628e-02 7.223469811012604991e-01
0.000000000000000000e+00 -1.584796580178038084e+03 9.285623974257272151e-01 1.053317342854728222e-01 9.276917268669090388e-01 5.786464997630544893e-01
0.000000000000000000e+00 -1.537411889111684104e+03 9.652559021867492817e-01 9.035463965860326407e-01 2.619666198245181876e-01 8.971488386116509561e-01
0.000000000000000000e+00 -1.533190643810730307e+03 8.420525090620637476e-01 9.049567379613814300e-01 1.433848448258534525e-02 7.482183907412731649e-02
0.000000000000000000e+00 -1.528102791175904258e+03 9.978191024719095248e-01 8.941763171627448159e-01 6.578580673027707437e-01 5.553351278846041517e-03
0.000000000000000000e+00 -1.524405843725875457e+03 9.528201909126927660e-01 4.752126991892396957e-01 2.715086139416210687e-01 6.334624042735992333e-01
0.000000000000000000e+00 -1.508121970905199760e+03 8.622009159933226030e-01 5.284305839663605564e-02 6.362192696359296740e-01 9.093948587212591361e-01
0.000000000000000000e+00 -1.505361113865643574e+03 9.141565420610536785e-01 9.746368218879387646e-01 7.364235423003651082e-02 8.271927602796967927e-01
0.000000000000000000e+00 -1.484886598361869574e+03 9.155503318125678414e-01 2.028311115676501020e-01 9.896918116156077083e-01 8.460681792600470708e-01
0.000000000000000000e+00 -1.471644812219398091e+03 9.307078963513601977e-01 3.242158145522517909e-01 1.117716108854355239e-01 8.122004468311171399e-01
0.000000000000000000e+00 -1.437082203153567662e+03 9.535090919113121677e-01 2.605006245046181945e-01 6.427272152496146251e-01 2.488669385918902410e-01
0.000000000000000000e+00 -1.436332982019965584e+03 9.273546269132972864e-01 2.298799271816276413e-01 8.702086179796364451e-02 5.680636311194736665e-01
0.000000000000000000e+00 -1.435583144884075182e+03 7.534051902068029660e-01 8.330989659914411760e-03 7.444177238806825025e-01 4.923366932258748108e-01
0.000000000000000000e+00 -1.431090253307068224e+03 7.206703067733782886e-01 4.244110669635836608e-02 2.901121271134092794e-01 8.306261116971008773e-01
0.000000000000000000e+00 -1.421360718522864772e+03 9.695665313708008437e-01 7.560498095505874261e-01 3.322619568577444005e-01 8.594957271809511301e-02
