amplitude offset frequency phase
1.779948856485575437e+00 3.422196884313777332e-02 3.178022443104404626e+00 1.061796012705540804e+00
1.744996404441075954e+00 3.532403352447177625e-02 3.201389619464826808e+00 8.873401475949213024e-01
1.725060180369065499e+00 1.097714623224863573e-01 3.214460477804387484e+00 9.166102259397299612e-01
1.747141418728855644e+00 1.674079238553400906e-01 3.180982504305603253e+00 1.018069531210305412e+00
1.932410194686949190e+00 9.827691068630528548e-02 3.237590951908217995e+00 8.840277427387887021e-01
1.856165574118998407e+00 1.154199806543578788e-01 3.181767218936520258e+00 9.546058761337490317e-01
1.738005892690447363e+00 1.500872283128895646e-01 3.210752427676411447e+00 8.052198622054804744e-01
1.723840619572577282e+00 1.525556930664273558e-01 3.226946562750062419e+00 8.137998920041469297e-01
1.724290925841393651e+00 8.604258131512620977e-02 3.238009776579871879e+00 8.723807054721033349e-01
2.034851972070450543e+00 1.684128962394706441e-01 3.221811445329836321e+00 8.958940364665788358e-01
1.739172588193865998e+00 7.938108307453140000e-02 3.208085928305360213e+00 8.225629998815254806e-01
1.739282311800492087e+00 1.823798542351862118e-01 3.238163374094357838e+00 8.446509957024852522e-01
1.901296856288090753e+00 6.088117290140271365e-02 3.194280085864761087e+00 8.192676039426920465e-01
1.981630232514587364e+00 1.513881758374235886e-02 3.206711629086797632e+00 9.202201938359717559e-01
1.812245547986626182e+00 2.240455734713027169e-01 3.182868841121495596e+00 8.645763632419581901e-01
1.778942319959492480e+00 1.152591695733535815e-01 3.219008666115416695e+00 8.794176530655705148e-01
1.770148648431458138e+00 9.360981658249967197e-02 3.179427441468392512e+00 9.679735036855259267e-01
1.781324370101780463e+00 1.420458835482318882e-01 3.186075649661380460e+00 9.817046183862616626e-01
1.857217155274297316e+00 1.184756408853635534e-01 3.224373406102236661e+00 8.364512447733758460e-01
1.731621320590237323e+00 1.533467516990474344e-01 3.248056190527812692e+00 7.917937923020038626e-01
1.807675729921182306e+00 7.255362625383288133e-02 3.218167794151687744e+00 7.950516552183662933e-01
1.674499573565724653e+00 2.719615280715013128e-01 3.218579170425912572e+00 9.753124476079912952e-01
1.703250159601596092e+00 8.704221315421900584e-02 3.211187077178444760e+00 1.031901389135578606e+00
1.792814737019569948e+00 1.445587827705399064e-01 3.219790678485770830e+00 8.588183154793037621e-01
1.790882401033198290e+00 -1.204634240723145844e-02 3.217440054037291830e+00 9.138214623952837234e-01
1.832441679781725785e+00 2.850039762619527295e-02 3.180785165651045077e+00 9.519021014490113286e-01
1.884233433156119020e+00 1.961191988353809812e-01 3.227443025119087316e+00 8.425009940745596948e-01
1.846382178675546104e+00 1.646760972709682136e-01 3.195138718505807773e+00 9.686474742220830825e-01
1.707207548636322514e+00 1.499529282713738532e-01 3.224737689006075048e+00 8.845926747168668669e-01
1.734799557158202221e+00 2.241093788007164633e-01 3.252116523950061566e+00 7.810313737400306211e-01
1.922298638400028681e+00 1.852858238319048390e-01 3.253822415619516129e+00 7.275470501606272622e-01
1.819619032011113857e+00 2.868310556604480865e-02 3.198266804749567704e+00 9.172787563634430263e-01
1.849523097212157019e+00 1.886522288024514715e-01 3.184461965461501620e+00 1.015328630139190169e+00
1.791885626429656320e+00 1.738866660745674864e-01 3.184819132951125731e+00 9.601803307399672249e-01
1.775277335196750128e+00 1.727367402171777755e-01 3.159609409099596089e+00 1.014896062706055702e+00
1.807261201750044455e+00 2.525290636548711554e-01 3.247976361735893214e+00 7.275892935175943821e-01
1.664367842101526218e+00 2.029885667489725876e-01 3.264940771130029340e+00 7.753000684600870329e-01
1.590324452881120898e+00 1.684714016701009953e-01 3.209720209386240697e+00 9.515826149195095729e-01
1.739282311800492087e+00 1.823798542351862118e-01 3.238163374094357838e+00 8.446509957024852522e-01
1.992437022976519145e+00 9.926534360888750186e-02 3.253271623324780482e+00 7.754041148717940590e-01
1.814128523273227378e+00 1.699261080575769078e-01 3.233556906437995426e+00 7.929555899826918886e-01
1.843047422724946038e+00 2.177084955918164866e-01 3.179880792489948149e+00 1.008011579290358117e+00
1.829732856065318325e+00 1.371347622894405482e-01 3.226331716872834932e+00 8.593363382885772506e-01
1.783590330688726633e+00 1.136185036036541085e-01 3.180023815697746059e+00 9.242652551534004113e-01
1.780278404565530881e+00 7.447124946814920321e-02 3.221749691632656010e+00 8.870783380834194043e-01
1.699684589093744203e+00 1.981258758919759444e-01 3.134301796020365405e+00 1.089077136782479860e+00
1.663577684812885593e+00 2.085907115409870727e-01 3.166242503557406884e+00 1.027186108017477117e+00
1.826452570663328112e+00 1.387261625968116974e-01 3.211060845087273297e+00 9.084332907207814944e-01
1.833391128818448568e+00 2.265984959871105708e-01 3.194947952354240339e+00 9.466061850032815306e-01
1.905516782695489075e+00 1.734137544084477511e-01 3.188775791068674259e+00 9.442888375516637067e-01
1.823433583888228071e+00 2.127995718468547182e-01 3.197080938455724386e+00 8.835747229466953678e-01
1.853813518828282048e+00 1.150976152060625424e-01 3.211848400198144660e+00 7.899180384771209429e-01
1.821051636130321061e+00 1.485528420267256955e-01 3.219283744074692866e+00 8.515994444080342562e-01
1.799327614926424568e+00 1.123435977708990841e-01 3.247550371271579639e+00 8.251801558398668135e-01
1.750058454173247124e+00 1.585106145746313366e-01 3.212713904064715909e+00 8.698699053916332247e-01
1.857410613737511262e+00 7.820893738889278524e-02 3.193378018403827845e+00 1.034431688459889198e+00
1.729886690614165889e+00 2.016515658242465925e-01 3.214219164114086702e+00 8.503391455926645470e-01
