logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.543562879000330213e+03 -2.549555593287021566e+03 1.764999999999999902e+00
-2.549555593287021566e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -2.183367360980163994e+03 -2.189362575266855401e+03 1.225000000000000089e+00
-2.189362575266855401e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -2.067094970661572461e+03 -2.073092684948263923e+03 1.165000000000000036e+00
-2.073092684948263923e+03 1.738846521201572273e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -1.928976224308132942e+03 -1.934976438594824231e+03 4.050000000000000266e-01
-1.934976438594824231e+03 6.013818719612280006e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.857708025762537545e+03 -1.863710740049228889e+03 1.229999999999999982e+00
-1.863710740049228889e+03 6.045871143638267142e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.857440641736410498e+03 -1.863445856023101896e+03 6.500000000000000222e-02
-1.862876405933120168e+03 2.009200754007773781e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.854623222400756504e+03 -1.860630936687447729e+03 3.800000000000000044e-01
-1.860530297237107334e+03 1.500022177948164392e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -1.828875214666602915e+03 -1.834885428953294195e+03 1.499999999999999944e-02
-1.834885428953286919e+03 1.255343654670787679e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.798509546177478569e+03 -1.804522260464169904e+03 1.400000000000000133e-01
-1.804522260464169904e+03 1.340050350206737306e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.740797648446106223e+03 -1.746812862732797612e+03 1.699999999999999956e+00
-1.746812862732797612e+03 2.742128441175960063e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.693155931734361957e+03 -1.699173646021053173e+03 1.125000000000000000e+00
-1.699173646021053173e+03 3.983621319145770201e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.626857198416096708e+03 -1.632877412702787979e+03 4.500000000000000111e-01
-1.632877412702787979e+03 5.386008882108134799e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.624658168517864169e+03 -1.630680882804555495e+03 8.149999999999999467e-01
-1.630575452799267168e+03 2.942423904210762942e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.613631993778808464e+03 -1.619657208065499844e+03 4.749999999999999778e-01
-1.619657189941142178e+03 2.795918078716028887e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.610577980541152556e+03 -1.616605694827843763e+03 1.189999999999999947e+00
-1.616559490699499293e+03 2.281879993334258572e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.610266418467414042e+03 -1.616296632754105303e+03 2.349999999999999867e-01
-1.615726302509572633e+03 3.951596178399404025e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -1.581646034085701103e+03 -1.587678748372392420e+03 1.530000000000000027e+00
-1.587678748372391738e+03 1.364931736240830418e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -1.570868227100528429e+03 -1.576903441387219800e+03 3.250000000000000111e-01
-1.576903420477938880e+03 1.615035825620737953e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.570446946157579077e+03 -1.576484660444270503e+03 3.200000000000000067e-01
-1.575979131599059883e+03 1.059968835836858503e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.565039957725249906e+03 -1.571080172011941158e+03 1.340000000000000080e+00
-1.571072745323565414e+03 2.277121798990597412e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -1.551731051635447102e+03 -1.557773765922138409e+03 7.449999999999999956e-01
-1.557773764245936718e+03 6.927757568455981563e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -1.551514849606258849e+03 -1.557560063892950211e+03 1.445000000000000062e+00
